location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Hauptstraße (Süd), Erlangen;2024-01-03 14:00:00 +0100;Wednesday;829;10;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-03 15:00:00 +0100;Wednesday;1170;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 16:00:00 +0100;Wednesday;1243;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 17:00:00 +0100;Wednesday;1110;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 18:00:00 +0100;Wednesday;1026;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 19:00:00 +0100;Wednesday;577;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 20:00:00 +0100;Wednesday;209;9;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 21:00:00 +0100;Wednesday;223;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 22:00:00 +0100;Wednesday;187;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-03 23:00:00 +0100;Wednesday;142;8;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-04 00:00:00 +0100;Thursday;53;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 01:00:00 +0100;Thursday;37;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 02:00:00 +0100;Thursday;30;8;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-04 03:00:00 +0100;Thursday;11;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 04:00:00 +0100;Thursday;16;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 05:00:00 +0100;Thursday;35;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 06:00:00 +0100;Thursday;63;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 07:00:00 +0100;Thursday;173;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 08:00:00 +0100;Thursday;224;8;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-04 09:00:00 +0100;Thursday;456;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 10:00:00 +0100;Thursday;767;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 11:00:00 +0100;Thursday;868;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 12:00:00 +0100;Thursday;1034;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 13:00:00 +0100;Thursday;1081;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-04 14:00:00 +0100;Thursday;1226;8;partly-cloudy-day;
